"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"80";"6. Biased  coin";"6. Biased  coin";14;402;107;295;500;500
"81";"2. Neyman known";"2. Neyman known";14;419;102;317;478;522
"82";"3. RSIHR Known";"3. RSIHR Known";14;435;66;369;369;631
"83";"4. Rosenberger known";"4. Rosenberger known";14;546;32;514;145;855
"84";"5. Optimal adjusted";"5. Optimal adjusted";14;389;105;284;531;469
"85";"1. Random";"1. Random";15;383;101;282;508;492
"86";"6. Biased  coin";"6. Biased  coin";15;393;101;292;503;499
"87";"2. Neyman known";"2. Neyman known";15;411;96;315;436;564
"88";"3. RSIHR Known";"3. RSIHR Known";15;433;82;351;386;614
"89";"4. Rosenberger known";"4. Rosenberger known";15;539;27;512;138;862
"90";"5. Optimal adjusted";"5. Optimal adjusted";15;374;94;280;512;488
"91";"1. Random";"1. Random";16;403;102;301;488;512
"92";"6. Biased  coin";"6. Biased  coin";16;395;102;293;500;500
"93";"2. Neyman known";"2. Neyman known";16;423;89;334;451;549
"94";"3. RSIHR Known";"3. RSIHR Known";16;452;78;374;391;609
"95";"4. Rosenberger known";"4. Rosenberger known";16;550;35;515;153;847
"96";"5. Optimal adjusted";"5. Optimal adjusted";16;409;101;308;505;495
"97";"1. Random";"1. Random";17;390;89;301;487;513
"98";"6. Biased  coin";"6. Biased  coin";17;390;104;286;500;501
"99";"2. Neyman known";"2. Neyman known";17;402;86;316;449;551
"100";"3. RSIHR Known";"3. RSIHR Known";17;433;76;357;371;629
"101";"4. Rosenberger known";"4. Rosenberger known";17;520;28;492;141;859
"102";"5. Optimal adjusted";"5. Optimal adjusted";17;371;100;271;533;467
"103";"1. Random";"1. Random";18;415;95;320;475;525
"104";"6. Biased  coin";"6. Biased  coin";18;379;96;283;500;500
"105";"2. Neyman known";"2. Neyman known";18;409;83;326;449;551
"106";"3. RSIHR Known";"3. RSIHR Known";18;438;71;367;371;629
"107";"4. Rosenberger known";"4. Rosenberger known";18;535;32;503;157;843
"108";"5. Optimal adjusted";"5. Optimal adjusted";18;386;96;290;525;475
"109";"1. Random";"1. Random";19;401;100;301;494;506
"110";"6. Biased  coin";"6. Biased  coin";19;409;89;320;501;501
"111";"2. Neyman known";"2. Neyman known";19;424;87;337;449;551
"112";"3. RSIHR Known";"3. RSIHR Known";19;444;80;364;389;611
"113";"4. Rosenberger known";"4. Rosenberger known";19;557;23;534;127;873
"114";"5. Optimal adjusted";"5. Optimal adjusted";19;387;107;280;547;453
"115";"1. Random";"1. Random";20;399;91;308;496;504
"116";"6. Biased  coin";"6. Biased  coin";20;386;97;289;501;499
"117";"2. Neyman known";"2. Neyman known";20;430;85;345;421;579
"118";"3. RSIHR Known";"3. RSIHR Known";20;429;68;361;375;625
"119";"4. Rosenberger known";"4. Rosenberger known";20;537;20;517;123;877
"120";"5. Optimal adjusted";"5. Optimal adjusted";20;350;103;247;559;441
"121";"1. Random";"1. Random";21;402;108;294;507;493
"122";"6. Biased  coin";"6. Biased  coin";21;396;96;300;501;499
"123";"2. Neyman known";"2. Neyman known";21;416;96;320;467;533
"124";"3. RSIHR Known";"3. RSIHR Known";21;460;77;383;374;626
"125";"4. Rosenberger known";"4. Rosenberger known";21;528;33;495;175;825
