"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"927";"2. Neyman known";"2. Neyman known";155;427;99;328;456;544
"928";"3. RSIHR Known";"3. RSIHR Known";155;455;91;364;396;604
"929";"4. Rosenberger known";"4. Rosenberger known";155;531;30;501;162;838
"930";"5. Optimal adjusted";"5. Optimal adjusted";155;379;111;268;558;442
"931";"1. Random";"1. Random";156;399;101;298;513;487
"932";"6. Biased  coin";"6. Biased  coin";156;403;97;306;500;500
"933";"2. Neyman known";"2. Neyman known";156;424;78;346;401;599
"934";"3. RSIHR Known";"3. RSIHR Known";156;432;65;367;379;621
"935";"4. Rosenberger known";"4. Rosenberger known";156;514;18;496;148;852
"936";"5. Optimal adjusted";"5. Optimal adjusted";156;389;102;287;508;492
"937";"1. Random";"1. Random";157;400;106;294;512;488
"938";"6. Biased  coin";"6. Biased  coin";157;394;96;298;500;500
"939";"2. Neyman known";"2. Neyman known";157;422;97;325;470;530
"940";"3. RSIHR Known";"3. RSIHR Known";157;431;71;360;360;640
"941";"4. Rosenberger known";"4. Rosenberger known";157;527;23;504;137;863
"942";"5. Optimal adjusted";"5. Optimal adjusted";157;383;121;262;545;455
"943";"1. Random";"1. Random";158;400;107;293;503;497
"944";"6. Biased  coin";"6. Biased  coin";158;412;100;312;500;500
"945";"2. Neyman known";"2. Neyman known";158;432;103;329;453;547
"946";"3. RSIHR Known";"3. RSIHR Known";158;458;68;390;348;652
"947";"4. Rosenberger known";"4. Rosenberger known";158;556;29;527;123;877
"948";"5. Optimal adjusted";"5. Optimal adjusted";158;393;103;290;514;486
"949";"1. Random";"1. Random";159;397;99;298;491;509
"950";"6. Biased  coin";"6. Biased  coin";159;402;101;301;502;499
"951";"2. Neyman known";"2. Neyman known";159;398;93;305;475;525
"952";"3. RSIHR Known";"3. RSIHR Known";159;447;73;374;371;629
"953";"4. Rosenberger known";"4. Rosenberger known";159;538;28;510;147;853
"954";"5. Optimal adjusted";"5. Optimal adjusted";159;374;103;271;534;466
"955";"1. Random";"1. Random";160;400;102;298;493;507
"956";"6. Biased  coin";"6. Biased  coin";160;414;98;316;501;499
"957";"2. Neyman known";"2. Neyman known";160;438;96;342;461;539
"958";"3. RSIHR Known";"3. RSIHR Known";160;463;70;393;369;631
"959";"4. Rosenberger known";"4. Rosenberger known";160;561;36;525;156;844
"960";"5. Optimal adjusted";"5. Optimal adjusted";160;395;107;288;526;474
"961";"1. Random";"1. Random";161;395;86;309;468;532
"962";"6. Biased  coin";"6. Biased  coin";161;404;103;301;500;500
"963";"2. Neyman known";"2. Neyman known";161;422;86;336;401;599
"964";"3. RSIHR Known";"3. RSIHR Known";161;436;80;356;379;621
"965";"4. Rosenberger known";"4. Rosenberger known";161;527;28;499;141;859
"966";"5. Optimal adjusted";"5. Optimal adjusted";161;378;117;261;545;455
"967";"1. Random";"1. Random";162;388;93;295;489;511
"968";"6. Biased  coin";"6. Biased  coin";162;385;100;285;503;500
"969";"2. Neyman known";"2. Neyman known";162;401;80;321;440;560
"970";"3. RSIHR Known";"3. RSIHR Known";162;443;71;372;377;623
"971";"4. Rosenberger known";"4. Rosenberger known";162;537;26;511;141;859
"972";"5. Optimal adjusted";"5. Optimal adjusted";162;362;95;267;532;468
"973";"1. Random";"1. Random";163;385;102;283;515;485
"974";"6. Biased  coin";"6. Biased  coin";163;393;101;292;501;499
"975";"2. Neyman known";"2. Neyman known";163;420;95;325;485;515
"976";"3. RSIHR Known";"3. RSIHR Known";163;445;78;367;384;616
"977";"4. Rosenberger known";"4. Rosenberger known";163;548;24;524;127;873
"978";"5. Optimal adjusted";"5. Optimal adjusted";163;393;105;288;531;469
"979";"1. Random";"1. Random";164;411;90;321;473;527
"980";"6. Biased  coin";"6. Biased  coin";164;409;111;298;500;500
"981";"2. Neyman known";"2. Neyman known";164;434;98;336;446;554
"982";"3. RSIHR Known";"3. RSIHR Known";164;446;69;377;369;631
"983";"4. Rosenberger known";"4. Rosenberger known";164;540;22;518;134;866
"984";"5. Optimal adjusted";"5. Optimal adjusted";164;395;107;288;539;461
"985";"1. Random";"1. Random";165;416;106;310;487;513
"986";"6. Biased  coin";"6. Biased  coin";165;399;102;297;500;500
"987";"2. Neyman known";"2. Neyman known";165;430;89;341;434;566
"988";"3. RSIHR Known";"3. RSIHR Known";165;447;75;372;377;623
"989";"4. Rosenberger known";"4. Rosenberger known";165;543;33;510;136;864
"990";"5. Optimal adjusted";"5. Optimal adjusted";165;391;125;266;573;427
"991";"1. Random";"1. Random";166;404;77;327;450;550
"992";"6. Biased  coin";"6. Biased  coin";166;389;84;305;500;500
"993";"2. Neyman known";"2. Neyman known";166;443;92;351;432;568
"994";"3. RSIHR Known";"3. RSIHR Known";166;451;73;378;380;620
"995";"4. Rosenberger known";"4. Rosenberger known";166;556;21;535;121;879
"996";"5. Optimal adjusted";"5. Optimal adjusted";166;366;97;269;542;458
"997";"1. Random";"1. Random";167;382;87;295;495;505
"998";"6. Biased  coin";"6. Biased  coin";167;406;101;305;502;500
"999";"2. Neyman known";"2. Neyman known";167;424;88;336;450;550
"1000";"3. RSIHR Known";"3. RSIHR Known";167;456;63;393;348;652
"1001";"4. Rosenberger known";"4. Rosenberger known";167;540;32;508;156;844
"1002";"5. Optimal adjusted";"5. Optimal adjusted";167;368;103;265;551;449
"1003";"1. Random";"1. Random";168;397;77;320;487;513
"1004";"6. Biased  coin";"6. Biased  coin";168;375;79;296;502;499
"1005";"2. Neyman known";"2. Neyman known";168;411;80;331;449;551
"1006";"3. RSIHR Known";"3. RSIHR Known";168;452;65;387;356;644
"1007";"4. Rosenberger known";"4. Rosenberger known";168;547;21;526;132;868
"1008";"5. Optimal adjusted";"5. Optimal adjusted";168;395;91;304;512;488
"1009";"1. Random";"1. Random";169;398;89;309;478;522
"1010";"6. Biased  coin";"6. Biased  coin";169;371;91;280;498;502
"1011";"2. Neyman known";"2. Neyman known";169;424;94;330;440;560
"1012";"3. RSIHR Known";"3. RSIHR Known";169;441;76;365;378;622
"1013";"4. Rosenberger known";"4. Rosenberger known";169;533;26;507;133;867
"1014";"5. Optimal adjusted";"5. Optimal adjusted";169;397;109;288;508;492
"1015";"1. Random";"1. Random";170;392;99;293;510;490
"1016";"6. Biased  coin";"6. Biased  coin";170;383;95;288;500;500
"1017";"2. Neyman known";"2. Neyman known";170;418;84;334;453;547
"1018";"3. RSIHR Known";"3. RSIHR Known";170;462;70;392;369;631
"1019";"4. Rosenberger known";"4. Rosenberger known";170;540;28;512;160;840
"1020";"5. Optimal adjusted";"5. Optimal adjusted";170;400;102;298;513;487
"1021";"1. Random";"1. Random";171;387;99;288;479;521
"1022";"6. Biased  coin";"6. Biased  coin";171;390;92;298;502;500
"1023";"2. Neyman known";"2. Neyman known";171;389;89;300;467;533
"1024";"3. RSIHR Known";"3. RSIHR Known";171;428;59;369;370;630
"1025";"4. Rosenberger known";"4. Rosenberger known";171;525;25;500;139;861
"1026";"5. Optimal adjusted";"5. Optimal adjusted";171;358;111;247;556;444
"1027";"1. Random";"1. Random";172;398;86;312;479;521
"1028";"6. Biased  coin";"6. Biased  coin";172;385;92;293;500;500
"1029";"2. Neyman known";"2. Neyman known";172;430;80;350;451;549
"1030";"3. RSIHR Known";"3. RSIHR Known";172;465;64;401;355;645
"1031";"4. Rosenberger known";"4. Rosenberger known";172;554;29;525;147;853
"1032";"5. Optimal adjusted";"5. Optimal adjusted";172;389;111;278;552;448
"1033";"1. Random";"1. Random";173;396;99;297;496;504
"1034";"6. Biased  coin";"6. Biased  coin";173;395;94;301;500;500
"1035";"2. Neyman known";"2. Neyman known";173;403;87;316;469;531
"1036";"3. RSIHR Known";"3. RSIHR Known";173;465;71;394;357;643
"1037";"4. Rosenberger known";"4. Rosenberger known";173;551;25;526;132;868
"1038";"5. Optimal adjusted";"5. Optimal adjusted";173;403;106;297;517;483
"1039";"1. Random";"1. Random";174;421;102;319;480;520
"1040";"6. Biased  coin";"6. Biased  coin";174;393;96;297;499;502
"1041";"2. Neyman known";"2. Neyman known";174;408;84;324;451;549
"1042";"3. RSIHR Known";"3. RSIHR Known";174;457;80;377;374;626
"1043";"4. Rosenberger known";"4. Rosenberger known";174;550;22;528;136;864
"1044";"5. Optimal adjusted";"5. Optimal adjusted";174;400;110;290;533;467
"1045";"1. Random";"1. Random";175;398;98;300;508;492
"1046";"6. Biased  coin";"6. Biased  coin";175;407;100;307;501;499
"1047";"2. Neyman known";"2. Neyman known";175;446;100;346;428;572
"1048";"3. RSIHR Known";"3. RSIHR Known";175;451;65;386;385;615
"1049";"4. Rosenberger known";"4. Rosenberger known";175;561;22;539;121;879
"1050";"5. Optimal adjusted";"5. Optimal adjusted";175;392;103;289;526;474
"1051";"1. Random";"1. Random";176;395;117;278;526;474
"1052";"6. Biased  coin";"6. Biased  coin";176;407;109;298;500;501
"1053";"2. Neyman known";"2. Neyman known";176;420;84;336;436;564
"1054";"3. RSIHR Known";"3. RSIHR Known";176;451;71;380;339;661
"1055";"4. Rosenberger known";"4. Rosenberger known";176;537;27;510;148;852
"1056";"5. Optimal adjusted";"5. Optimal adjusted";176;373;101;272;547;453
"1057";"1. Random";"1. Random";177;424;105;319;488;512
"1058";"6. Biased  coin";"6. Biased  coin";177;421;103;318;501;500
"1059";"2. Neyman known";"2. Neyman known";177;447;108;339;469;531
"1060";"3. RSIHR Known";"3. RSIHR Known";177;477;78;399;358;642
"1061";"4. Rosenberger known";"4. Rosenberger known";177;588;34;554;132;868
"1062";"5. Optimal adjusted";"5. Optimal adjusted";177;393;109;284;556;444
"1063";"1. Random";"1. Random";178;414;101;313;497;503
"1064";"6. Biased  coin";"6. Biased  coin";178;404;98;306;500;500
"1065";"2. Neyman known";"2. Neyman known";178;443;91;352;446;554
"1066";"3. RSIHR Known";"3. RSIHR Known";178;453;61;392;359;641
"1067";"4. Rosenberger known";"4. Rosenberger known";178;541;20;521;156;844
"1068";"5. Optimal adjusted";"5. Optimal adjusted";178;397;113;284;565;435
"1069";"1. Random";"1. Random";179;393;94;299;490;510
"1070";"6. Biased  coin";"6. Biased  coin";179;381;98;283;501;499
"1071";"2. Neyman known";"2. Neyman known";179;426;85;341;435;565
"1072";"3. RSIHR Known";"3. RSIHR Known";179;462;80;382;346;654
"1073";"4. Rosenberger known";"4. Rosenberger known";179;531;21;510;133;867
"1074";"5. Optimal adjusted";"5. Optimal adjusted";179;375;105;270;558;442
"1075";"1. Random";"1. Random";180;386;97;289;520;480
"1076";"6. Biased  coin";"6. Biased  coin";180;415;100;315;501;501
"1077";"2. Neyman known";"2. Neyman known";180;434;87;347;448;552
"1078";"3. RSIHR Known";"3. RSIHR Known";180;421;67;354;403;597
"1079";"4. Rosenberger known";"4. Rosenberger known";180;546;26;520;145;855
"1080";"5. Optimal adjusted";"5. Optimal adjusted";180;382;107;275;544;456
"1081";"1. Random";"1. Random";181;374;95;279;514;486
"1082";"6. Biased  coin";"6. Biased  coin";181;397;110;287;500;500
"1083";"2. Neyman known";"2. Neyman known";181;405;70;335;416;584
"1084";"3. RSIHR Known";"3. RSIHR Known";181;443;77;366;367;633
"1085";"4. Rosenberger known";"4. Rosenberger known";181;528;30;498;147;853
"1086";"5. Optimal adjusted";"5. Optimal adjusted";181;372;99;273;514;486
"1087";"1. Random";"1. Random";182;402;107;295;493;507
"1088";"6. Biased  coin";"6. Biased  coin";182;396;103;293;504;499
"1089";"2. Neyman known";"2. Neyman known";182;436;86;350;422;578
"1090";"3. RSIHR Known";"3. RSIHR Known";182;454;86;368;381;619
"1091";"4. Rosenberger known";"4. Rosenberger known";182;546;38;508;146;854
"1092";"5. Optimal adjusted";"5. Optimal adjusted";182;378;106;272;520;480
"1093";"1. Random";"1. Random";183;404;87;317;497;503
"1094";"6. Biased  coin";"6. Biased  coin";183;415;107;308;501;499
"1095";"2. Neyman known";"2. Neyman known";183;399;86;313;471;529
"1096";"3. RSIHR Known";"3. RSIHR Known";183;476;64;412;328;672
"1097";"4. Rosenberger known";"4. Rosenberger known";183;550;28;522;146;854
"1098";"5. Optimal adjusted";"5. Optimal adjusted";183;380;114;266;562;438
"1099";"1. Random";"1. Random";184;404;98;306;502;498
"1100";"6. Biased  coin";"6. Biased  coin";184;413;110;303;500;501
"1101";"2. Neyman known";"2. Neyman known";184;445;101;344;446;554
"1102";"3. RSIHR Known";"3. RSIHR Known";184;449;82;367;387;613
"1103";"4. Rosenberger known";"4. Rosenberger known";184;556;30;526;127;873
"1104";"5. Optimal adjusted";"5. Optimal adjusted";184;400;109;291;506;494
"1105";"1. Random";"1. Random";185;385;80;305;524;476
"1106";"6. Biased  coin";"6. Biased  coin";185;405;87;318;499;501
"1107";"2. Neyman known";"2. Neyman known";185;399;77;322;461;539
"1108";"3. RSIHR Known";"3. RSIHR Known";185;452;54;398;365;635
"1109";"4. Rosenberger known";"4. Rosenberger known";185;567;25;542;124;876
"1110";"5. Optimal adjusted";"5. Optimal adjusted";185;396;89;307;504;496
"1111";"1. Random";"1. Random";186;414;102;312;484;516
"1112";"6. Biased  coin";"6. Biased  coin";186;386;84;302;503;500
"1113";"2. Neyman known";"2. Neyman known";186;434;88;346;432;568
"1114";"3. RSIHR Known";"3. RSIHR Known";186;465;74;391;366;634
"1115";"4. Rosenberger known";"4. Rosenberger known";186;553;23;530;134;866
"1116";"5. Optimal adjusted";"5. Optimal adjusted";186;391;115;276;549;451
"1117";"1. Random";"1. Random";187;402;93;309;469;531
"1118";"6. Biased  coin";"6. Biased  coin";187;386;99;287;499;501
"1119";"2. Neyman known";"2. Neyman known";187;417;97;320;460;540
"1120";"3. RSIHR Known";"3. RSIHR Known";187;437;66;371;362;638
"1121";"4. Rosenberger known";"4. Rosenberger known";187;526;30;496;144;856
"1122";"5. Optimal adjusted";"5. Optimal adjusted";187;376;112;264;548;452
"1123";"1. Random";"1. Random";188;401;103;298;515;485
"1124";"6. Biased  coin";"6. Biased  coin";188;408;109;299;501;499
"1125";"2. Neyman known";"2. Neyman known";188;433;91;342;441;559
"1126";"3. RSIHR Known";"3. RSIHR Known";188;457;66;391;351;649
"1127";"4. Rosenberger known";"4. Rosenberger known";188;544;24;520;145;855
"1128";"5. Optimal adjusted";"5. Optimal adjusted";188;380;109;271;550;450
"1129";"1. Random";"1. Random";189;396;112;284;525;475
"1130";"6. Biased  coin";"6. Biased  coin";189;390;87;303;502;500
"1131";"2. Neyman known";"2. Neyman known";189;413;72;341;431;569
"1132";"3. RSIHR Known";"3. RSIHR Known";189;455;67;388;350;650
"1133";"4. Rosenberger known";"4. Rosenberger known";189;538;26;512;148;852
"1134";"5. Optimal adjusted";"5. Optimal adjusted";189;388;95;293;514;486
"1135";"1. Random";"1. Random";190;393;97;296;512;488
"1136";"6. Biased  coin";"6. Biased  coin";190;378;89;289;500;500
"1137";"2. Neyman known";"2. Neyman known";190;414;81;333;444;556
"1138";"3. RSIHR Known";"3. RSIHR Known";190;436;68;368;372;628
"1139";"4. Rosenberger known";"4. Rosenberger known";190;533;29;504;145;855
"1140";"5. Optimal adjusted";"5. Optimal adjusted";190;392;104;288;535;465
"1141";"1. Random";"1. Random";191;414;108;306;517;483
"1142";"6. Biased  coin";"6. Biased  coin";191;411;102;309;500;500
"1143";"2. Neyman known";"2. Neyman known";191;451;90;361;436;564
"1144";"3. RSIHR Known";"3. RSIHR Known";191;477;80;397;360;640
"1145";"4. Rosenberger known";"4. Rosenberger known";191;569;25;544;124;876
"1146";"5. Optimal adjusted";"5. Optimal adjusted";191;419;121;298;536;464
"1147";"1. Random";"1. Random";192;393;103;290;508;492
"1148";"6. Biased  coin";"6. Biased  coin";192;434;112;322;498;502
"1149";"2. Neyman known";"2. Neyman known";192;418;94;324;445;555
"1150";"3. RSIHR Known";"3. RSIHR Known";192;460;89;371;380;620
"1151";"4. Rosenberger known";"4. Rosenberger known";192;533;21;512;142;858
"1152";"5. Optimal adjusted";"5. Optimal adjusted";192;381;99;282;520;480
"1153";"1. Random";"1. Random";193;389;89;300;522;478
"1154";"6. Biased  coin";"6. Biased  coin";193;413;100;313;500;500
"1155";"2. Neyman known";"2. Neyman known";193;433;92;341;468;532
"1156";"3. RSIHR Known";"3. RSIHR Known";193;469;79;390;386;614
"1157";"4. Rosenberger known";"4. Rosenberger known";193;544;29;515;147;853
"1158";"5. Optimal adjusted";"5. Optimal adjusted";193;393;98;295;536;464
"1159";"1. Random";"1. Random";194;404;102;302;513;487
"1160";"6. Biased  coin";"6. Biased  coin";194;394;97;297;501;499
"1161";"2. Neyman known";"2. Neyman known";194;411;88;323;449;551
"1162";"3. RSIHR Known";"3. RSIHR Known";194;455;80;375;361;639
"1163";"4. Rosenberger known";"4. Rosenberger known";194;561;31;530;123;877
"1164";"5. Optimal adjusted";"5. Optimal adjusted";194;389;121;268;541;459
"1165";"1. Random";"1. Random";195;398;93;305;502;498
"1166";"6. Biased  coin";"6. Biased  coin";195;385;89;296;501;500
"1167";"2. Neyman known";"2. Neyman known";195;437;100;337;454;546
"1168";"3. RSIHR Known";"3. RSIHR Known";195;470;65;405;335;665
"1169";"4. Rosenberger known";"4. Rosenberger known";195;544;30;514;167;833
"1170";"5. Optimal adjusted";"5. Optimal adjusted";195;378;99;279;529;471
"1171";"1. Random";"1. Random";196;399;106;293;513;487
"1172";"6. Biased  coin";"6. Biased  coin";196;407;105;302;502;499
"1173";"2. Neyman known";"2. Neyman known";196;439;100;339;447;553
"1174";"3. RSIHR Known";"3. RSIHR Known";196;460;81;379;374;626
"1175";"4. Rosenberger known";"4. Rosenberger known";196;540;34;506;157;843
"1176";"5. Optimal adjusted";"5. Optimal adjusted";196;427;113;314;500;500
"1177";"1. Random";"1. Random";197;404;95;309;516;484
"1178";"6. Biased  coin";"6. Biased  coin";197;398;85;313;500;500
"1179";"2. Neyman known";"2. Neyman known";197;414;82;332;468;532
"1180";"3. RSIHR Known";"3. RSIHR Known";197;456;60;396;377;623
"1181";"4. Rosenberger known";"4. Rosenberger known";197;570;24;546;146;854
"1182";"5. Optimal adjusted";"5. Optimal adjusted";197;399;96;303;533;467
"1183";"1. Random";"1. Random";198;384;102;282;525;475
"1184";"6. Biased  coin";"6. Biased  coin";198;398;94;304;500;500
"1185";"2. Neyman known";"2. Neyman known";198;393;88;305;468;532
"1186";"3. RSIHR Known";"3. RSIHR Known";198;449;78;371;384;616
"1187";"4. Rosenberger known";"4. Rosenberger known";198;549;32;517;163;837
"1188";"5. Optimal adjusted";"5. Optimal adjusted";198;370;96;274;536;464
"1189";"1. Random";"1. Random";199;407;91;316;487;513
"1190";"6. Biased  coin";"6. Biased  coin";199;410;99;311;500;500
"1191";"2. Neyman known";"2. Neyman known";199;457;84;373;433;567
"1192";"3. RSIHR Known";"3. RSIHR Known";199;449;77;372;380;620
"1193";"4. Rosenberger known";"4. Rosenberger known";199;560;22;538;133;867
"1194";"5. Optimal adjusted";"5. Optimal adjusted";199;394;109;285;528;472
"1195";"1. Random";"1. Random";200;397;101;296;511;489
"1196";"6. Biased  coin";"6. Biased  coin";200;423;108;315;501;500
"1197";"2. Neyman known";"2. Neyman known";200;437;109;328;480;520
"1198";"3. RSIHR Known";"3. RSIHR Known";200;468;75;393;354;646
"1199";"4. Rosenberger known";"4. Rosenberger known";200;550;26;524;138;862
"1200";"5. Optimal adjusted";"5. Optimal adjusted";200;392;108;284;541;459
"1201";"1. Random";"1. Random";201;377;92;285;492;508
"1202";"6. Biased  coin";"6. Biased  coin";201;379;96;283;500;500
"1203";"2. Neyman known";"2. Neyman known";201;409;96;313;450;550
"1204";"3. RSIHR Known";"3. RSIHR Known";201;435;71;364;384;616
"1205";"4. Rosenberger known";"4. Rosenberger known";201;546;29;517;129;871
"1206";"5. Optimal adjusted";"5. Optimal adjusted";201;394;117;277;543;457
"1207";"1. Random";"1. Random";202;406;99;307;482;518
"1208";"6. Biased  coin";"6. Biased  coin";202;409;103;306;501;500
"1209";"2. Neyman known";"2. Neyman known";202;430;98;332;450;550
"1210";"3. RSIHR Known";"3. RSIHR Known";202;457;74;383;360;640
"1211";"4. Rosenberger known";"4. Rosenberger known";202;536;29;507;148;852
"1212";"5. Optimal adjusted";"5. Optimal adjusted";202;393;109;284;530;470
"1213";"1. Random";"1. Random";203;379;100;279;545;455
"1214";"6. Biased  coin";"6. Biased  coin";203;426;105;321;500;500
"1215";"2. Neyman known";"2. Neyman known";203;432;88;344;449;551
"1216";"3. RSIHR Known";"3. RSIHR Known";203;456;73;383;376;624
"1217";"4. Rosenberger known";"4. Rosenberger known";203;558;23;535;133;867
"1218";"5. Optimal adjusted";"5. Optimal adjusted";203;373;99;274;548;452
"1219";"1. Random";"1. Random";204;394;91;303;478;522
"1220";"6. Biased  coin";"6. Biased  coin";204;397;88;309;500;500
"1221";"2. Neyman known";"2. Neyman known";204;404;88;316;472;528
"1222";"3. RSIHR Known";"3. RSIHR Known";204;453;62;391;371;629
"1223";"4. Rosenberger known";"4. Rosenberger known";204;543;23;520;149;851
"1224";"5. Optimal adjusted";"5. Optimal adjusted";204;365;91;274;524;476
"1225";"1. Random";"1. Random";205;375;92;283;526;474
"1226";"6. Biased  coin";"6. Biased  coin";205;401;96;305;500;500
"1227";"2. Neyman known";"2. Neyman known";205;413;89;324;453;547
"1228";"3. RSIHR Known";"3. RSIHR Known";205;446;78;368;387;613
"1229";"4. Rosenberger known";"4. Rosenberger known";205;540;37;503;160;840
"1230";"5. Optimal adjusted";"5. Optimal adjusted";205;396;115;281;531;469
"1231";"1. Random";"1. Random";206;400;103;297;521;479
"1232";"6. Biased  coin";"6. Biased  coin";206;403;99;304;500;500
"1233";"2. Neyman known";"2. Neyman known";206;411;80;331;443;557
"1234";"3. RSIHR Known";"3. RSIHR Known";206;465;71;394;361;639
"1235";"4. Rosenberger known";"4. Rosenberger known";206;540;29;511;142;858
"1236";"5. Optimal adjusted";"5. Optimal adjusted";206;380;111;269;548;452
"1237";"1. Random";"1. Random";207;402;109;293;522;478
"1238";"6. Biased  coin";"6. Biased  coin";207;408;106;302;501;499
"1239";"2. Neyman known";"2. Neyman known";207;432;95;337;451;549
"1240";"3. RSIHR Known";"3. RSIHR Known";207;472;70;402;356;644
"1241";"4. Rosenberger known";"4. Rosenberger known";207;567;20;547;120;880
"1242";"5. Optimal adjusted";"5. Optimal adjusted";207;402;108;294;543;457
"1243";"1. Random";"1. Random";208;398;86;312;496;504
"1244";"6. Biased  coin";"6. Biased  coin";208;400;83;317;499;501
"1245";"2. Neyman known";"2. Neyman known";208;392;78;314;467;533
"1246";"3. RSIHR Known";"3. RSIHR Known";208;453;67;386;373;627
"1247";"4. Rosenberger known";"4. Rosenberger known";208;534;20;514;145;855
"1248";"5. Optimal adjusted";"5. Optimal adjusted";208;393;95;298;517;483
"1249";"1. Random";"1. Random";209;387;94;293;514;486
"1250";"6. Biased  coin";"6. Biased  coin";209;424;106;318;498;502
"1251";"2. Neyman known";"2. Neyman known";209;440;94;346;449;551
"1252";"3. RSIHR Known";"3. RSIHR Known";209;446;72;374;381;619
"1253";"4. Rosenberger known";"4. Rosenberger known";209;555;27;528;140;860
"1254";"5. Optimal adjusted";"5. Optimal adjusted";209;393;94;299;508;492
"1255";"1. Random";"1. Random";210;408;100;308;495;505
"1256";"6. Biased  coin";"6. Biased  coin";210;413;111;302;501;499
"1257";"2. Neyman known";"2. Neyman known";210;426;96;330;459;541
"1258";"3. RSIHR Known";"3. RSIHR Known";210;470;79;391;361;639
"1259";"4. Rosenberger known";"4. Rosenberger known";210;540;31;509;159;841
"1260";"5. Optimal adjusted";"5. Optimal adjusted";210;379;106;273;559;441
"1261";"1. Random";"1. Random";211;400;91;309;491;509
"1262";"6. Biased  coin";"6. Biased  coin";211;409;107;302;500;500
"1263";"2. Neyman known";"2. Neyman known";211;414;73;341;424;576
"1264";"3. RSIHR Known";"3. RSIHR Known";211;457;71;386;351;649
"1265";"4. Rosenberger known";"4. Rosenberger known";211;545;25;520;134;866
"1266";"5. Optimal adjusted";"5. Optimal adjusted";211;393;104;289;523;477
"1267";"1. Random";"1. Random";212;380;92;288;515;485
"1268";"6. Biased  coin";"6. Biased  coin";212;389;81;308;500;500
"1269";"2. Neyman known";"2. Neyman known";212;391;75;316;475;525
"1270";"3. RSIHR Known";"3. RSIHR Known";212;456;65;391;345;655
"1271";"4. Rosenberger known";"4. Rosenberger known";212;521;24;497;148;852
"1272";"5. Optimal adjusted";"5. Optimal adjusted";212;365;91;274;535;465
"1273";"1. Random";"1. Random";213;400;111;289;499;501
"1274";"6. Biased  coin";"6. Biased  coin";213;403;106;297;500;500
"1275";"2. Neyman known";"2. Neyman known";213;418;95;323;456;544
"1276";"3. RSIHR Known";"3. RSIHR Known";213;444;66;378;371;629
"1277";"4. Rosenberger known";"4. Rosenberger known";213;517;32;485;171;829
"1278";"5. Optimal adjusted";"5. Optimal adjusted";213;378;109;269;542;458
"1279";"1. Random";"1. Random";214;396;105;291;519;481
"1280";"6. Biased  coin";"6. Biased  coin";214;391;93;298;499;502
"1281";"2. Neyman known";"2. Neyman known";214;403;81;322;454;546
"1282";"3. RSIHR Known";"3. RSIHR Known";214;455;70;385;354;646
"1283";"4. Rosenberger known";"4. Rosenberger known";214;522;20;502;148;852
"1284";"5. Optimal adjusted";"5. Optimal adjusted";214;395;101;294;532;468
"1285";"1. Random";"1. Random";215;402;98;304;510;490
"1286";"6. Biased  coin";"6. Biased  coin";215;412;91;321;502;498
"1287";"2. Neyman known";"2. Neyman known";215;418;87;331;458;542
"1288";"3. RSIHR Known";"3. RSIHR Known";215;486;81;405;360;640
"1289";"4. Rosenberger known";"4. Rosenberger known";215;557;27;530;138;862
"1290";"5. Optimal adjusted";"5. Optimal adjusted";215;380;111;269;558;442
"1291";"1. Random";"1. Random";216;418;123;295;495;505
"1292";"6. Biased  coin";"6. Biased  coin";216;429;116;313;501;501
"1293";"2. Neyman known";"2. Neyman known";216;440;99;341;441;559
"1294";"3. RSIHR Known";"3. RSIHR Known";216;475;76;399;360;640
"1295";"4. Rosenberger known";"4. Rosenberger known";216;551;33;518;142;858
"1296";"5. Optimal adjusted";"5. Optimal adjusted";216;412;119;293;530;470
"1297";"1. Random";"1. Random";217;412;100;312;492;508
"1298";"6. Biased  coin";"6. Biased  coin";217;395;88;307;498;502
"1299";"2. Neyman known";"2. Neyman known";217;422;73;349;430;570
"1300";"3. RSIHR Known";"3. RSIHR Known";217;467;73;394;356;644
"1301";"4. Rosenberger known";"4. Rosenberger known";217;547;28;519;164;836
"1302";"5. Optimal adjusted";"5. Optimal adjusted";217;380;89;291;528;472
"1303";"1. Random";"1. Random";218;398;118;280;526;474
"1304";"6. Biased  coin";"6. Biased  coin";218;423;114;309;504;500
"1305";"2. Neyman known";"2. Neyman known";218;400;92;308;459;541
"1306";"3. RSIHR Known";"3. RSIHR Known";218;452;79;373;378;622
"1307";"4. Rosenberger known";"4. Rosenberger known";218;525;33;492;158;842
"1308";"5. Optimal adjusted";"5. Optimal adjusted";218;384;114;270;540;460
"1309";"1. Random";"1. Random";219;418;105;313;504;496
"1310";"6. Biased  coin";"6. Biased  coin";219;420;104;316;500;501
"1311";"2. Neyman known";"2. Neyman known";219;433;96;337;445;555
"1312";"3. RSIHR Known";"3. RSIHR Known";219;445;63;382;365;635
"1313";"4. Rosenberger known";"4. Rosenberger known";219;539;27;512;146;854
"1314";"5. Optimal adjusted";"5. Optimal adjusted";219;381;110;271;548;452
"1315";"1. Random";"1. Random";220;380;76;304;498;502
"1316";"6. Biased  coin";"6. Biased  coin";220;401;89;312;501;500
"1317";"2. Neyman known";"2. Neyman known";220;394;73;321;474;526
"1318";"3. RSIHR Known";"3. RSIHR Known";220;449;66;383;372;628
