"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1904";"6. Biased  coin";387;96;291;499;502
"1905";"2. Neyman known";416;79;337;432;568
"1906";"3. RSIHR Known";462;70;392;351;649
"1907";"4. Rosenberger known";536;27;509;143;857
"1908";"5. Optimal adjusted";382;116;266;550;450
"1909";"1. Random";374;109;265;529;471
"1910";"6. Biased  coin";391;101;290;501;499
"1911";"2. Neyman known";411;78;333;430;570
"1912";"3. RSIHR Known";435;75;360;371;629
"1913";"4. Rosenberger known";521;32;489;144;856
"1914";"5. Optimal adjusted";370;103;267;531;469
"1915";"1. Random";394;109;285;499;501
"1916";"6. Biased  coin";410;116;294;502;499
"1917";"2. Neyman known";436;88;348;426;574
"1918";"3. RSIHR Known";476;79;397;347;653
"1919";"4. Rosenberger known";546;34;512;151;849
"1920";"5. Optimal adjusted";391;113;278;523;477
"1921";"1. Random";409;109;300;501;499
"1922";"6. Biased  coin";406;106;300;502;498
"1923";"2. Neyman known";417;82;335;433;567
"1924";"3. RSIHR Known";469;87;382;351;649
"1925";"4. Rosenberger known";542;24;518;128;872
"1926";"5. Optimal adjusted";375;111;264;548;452
"1927";"1. Random";434;113;321;484;516
"1928";"6. Biased  coin";421;109;312;504;500
"1929";"2. Neyman known";438;108;330;473;527
"1930";"3. RSIHR Known";489;97;392;369;631
"1931";"4. Rosenberger known";554;27;527;146;854
"1932";"5. Optimal adjusted";428;130;298;527;473
"1933";"1. Random";395;102;293;504;496
"1934";"6. Biased  coin";391;101;290;501;499
"1935";"2. Neyman known";413;81;332;430;570
"1936";"3. RSIHR Known";447;86;361;384;616
"1937";"4. Rosenberger known";537;30;507;132;868
"1938";"5. Optimal adjusted";389;108;281;519;481
"1939";"1. Random";417;121;296;508;492
"1940";"6. Biased  coin";414;113;301;499;501
"1941";"2. Neyman known";434;107;327;435;565
"1942";"3. RSIHR Known";452;87;365;378;622
"1943";"4. Rosenberger known";548;29;519;131;869
"1944";"5. Optimal adjusted";391;116;275;535;465
"1945";"1. Random";379;119;260;539;461
"1946";"6. Biased  coin";403;109;294;500;500
"1947";"2. Neyman known";434;96;338;428;572
"1948";"3. RSIHR Known";455;80;375;348;652
"1949";"4. Rosenberger known";539;33;506;141;859
"1950";"5. Optimal adjusted";410;120;290;513;487
"1951";"1. Random";408;118;290;524;476
"1952";"6. Biased  coin";416;108;308;502;500
"1953";"2. Neyman known";430;104;326;463;537
"1954";"3. RSIHR Known";477;96;381;385;615
"1955";"4. Rosenberger known";535;27;508;157;843
"1956";"5. Optimal adjusted";414;120;294;532;468
"1957";"1. Random";422;90;332;463;537
"1958";"6. Biased  coin";388;92;296;500;500
"1959";"2. Neyman known";418;84;334;449;551
"1960";"3. RSIHR Known";451;64;387;349;651
"1961";"4. Rosenberger known";544;27;517;143;857
"1962";"5. Optimal adjusted";371;108;263;558;442
"1963";"1. Random";385;96;289;499;501
"1964";"6. Biased  coin";413;115;298;501;500
"1965";"2. Neyman known";414;98;316;472;528
"1966";"3. RSIHR Known";459;79;380;366;634
"1967";"4. Rosenberger known";567;39;528;129;871
