"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1";"20. Neyman CARA";"20. Neyman CARA";1;414;107;307;513;487
"2";"20. Neyman CARA";"20. Neyman CARA";2;392;97;295;499;501
"3";"20. Neyman CARA";"20. Neyman CARA";3;198;191;7;992;8
"4";"20. Neyman CARA";"20. Neyman CARA";4;217;212;5;993;7
"5";"20. Neyman CARA";"20. Neyman CARA";5;394;124;270;560;440
"6";"20. Neyman CARA";"20. Neyman CARA";6;200;198;2;994;6
"7";"20. Neyman CARA";"20. Neyman CARA";7;412;98;314;478;522
"8";"20. Neyman CARA";"20. Neyman CARA";8;541;132;409;513;487
"9";"20. Neyman CARA";"20. Neyman CARA";9;394;102;292;512;488
"10";"20. Neyman CARA";"20. Neyman CARA";10;551;160;391;514;486
"11";"20. Neyman CARA";"20. Neyman CARA";11;393;87;306;473;527
"12";"20. Neyman CARA";"20. Neyman CARA";12;515;133;382;515;485
"13";"20. Neyman CARA";"20. Neyman CARA";13;224;219;5;994;6
"14";"20. Neyman CARA";"20. Neyman CARA";14;505;125;380;514;486
"15";"20. Neyman CARA";"20. Neyman CARA";15;438;123;315;503;497
"16";"20. Neyman CARA";"20. Neyman CARA";16;228;225;3;994;6
"17";"20. Neyman CARA";"20. Neyman CARA";17;218;213;5;994;6
"18";"20. Neyman CARA";"20. Neyman CARA";18;405;116;289;500;500
"19";"20. Neyman CARA";"20. Neyman CARA";19;522;160;362;517;483
"20";"20. Neyman CARA";"20. Neyman CARA";20;225;216;9;990;10
"21";"20. Neyman CARA";"20. Neyman CARA";21;250;43;207;485;515
"22";"20. Neyman CARA";"20. Neyman CARA";22;537;151;386;515;485
"23";"20. Neyman CARA";"20. Neyman CARA";23;559;159;400;513;487
"24";"20. Neyman CARA";"20. Neyman CARA";24;533;144;389;514;486
"25";"20. Neyman CARA";"20. Neyman CARA";25;422;91;331;451;549
"26";"20. Neyman CARA";"20. Neyman CARA";26;394;94;300;494;506
"27";"20. Neyman CARA";"20. Neyman CARA";27;385;110;275;519;481
"28";"20. Neyman CARA";"20. Neyman CARA";28;375;108;267;600;400
"29";"20. Neyman CARA";"20. Neyman CARA";29;225;203;22;968;32
"30";"20. Neyman CARA";"20. Neyman CARA";30;546;153;393;514;486
"31";"20. Neyman CARA";"20. Neyman CARA";31;541;147;394;515;485
"32";"20. Neyman CARA";"20. Neyman CARA";32;409;118;291;510;490
"33";"20. Neyman CARA";"20. Neyman CARA";33;225;221;4;993;7
"34";"20. Neyman CARA";"20. Neyman CARA";34;464;129;335;501;499
"35";"20. Neyman CARA";"20. Neyman CARA";35;409;99;310;501;499
"36";"20. Neyman CARA";"20. Neyman CARA";36;207;205;2;993;7
"37";"20. Neyman CARA";"20. Neyman CARA";37;428;123;305;515;485
"38";"20. Neyman CARA";"20. Neyman CARA";38;551;150;401;516;484
"39";"20. Neyman CARA";"20. Neyman CARA";39;414;118;296;493;507
"40";"20. Neyman CARA";"20. Neyman CARA";40;225;219;6;993;7
"41";"20. Neyman CARA";"20. Neyman CARA";41;478;133;345;523;477
"42";"20. Neyman CARA";"20. Neyman CARA";42;552;157;395;514;486
"43";"20. Neyman CARA";"20. Neyman CARA";43;542;160;382;515;485
"44";"20. Neyman CARA";"20. Neyman CARA";44;181;176;5;993;7
"45";"20. Neyman CARA";"20. Neyman CARA";45;531;149;382;515;485
"46";"20. Neyman CARA";"20. Neyman CARA";46;408;88;320;471;529
"47";"20. Neyman CARA";"20. Neyman CARA";47;382;92;290;507;493
"48";"20. Neyman CARA";"20. Neyman CARA";48;214;211;3;993;7
"49";"20. Neyman CARA";"20. Neyman CARA";49;533;140;393;516;484
